id,biosample,sample,dateCollected,depth,sra,submitter
22786658,SAMN22786658,2034500507_18S_V4,2018-03-25,159,SRS10846868,Leocadio Blanco-Bercial
22786657,SAMN22786657,2034500506_18S_V4,2018-03-25,119.4,SRS10846867,Leocadio Blanco-Bercial
22786656,SAMN22786656,2034500521_18S_V4,2018-03-25,999.5,SRS10846865,Leocadio Blanco-Bercial
22786655,SAMN22786655,2034500501_18S_V4,2018-03-25,4.3,SRS10846864,Leocadio Blanco-Bercial
22786654,SAMN22786654,1035402021_18S_V4,2018-12-16,798.6,SRS10846863,Leocadio Blanco-Bercial
22786653,SAMN22786653,1035402005_18S_V4,2018-12-16,80.4,SRS10846861,Leocadio Blanco-Bercial
22786652,SAMN22786652,1035402019_18S_V4,2018-12-16,604,SRS10846862,Leocadio Blanco-Bercial
22786651,SAMN22786651,1035402018_18S_V4,2018-12-16,500.7,SRS10846860,Leocadio Blanco-Bercial
22786650,SAMN22786650,1035402003_18S_V4,2018-12-16,40.7,SRS10846859,Leocadio Blanco-Bercial
22786649,SAMN22786649,1035402015_18S_V4,2018-12-16,299.3,SRS10846858,Leocadio Blanco-Bercial
22786648,SAMN22786648,1035402013_18S_V4,2018-12-16,251,SRS10846857,Leocadio Blanco-Bercial
22786647,SAMN22786647,1035402011_18S_V4,2018-12-16,203.7,SRS10846856,Leocadio Blanco-Bercial
22786646,SAMN22786646,1035402009_18S_V4,2018-12-16,161.9,SRS10846853,Leocadio Blanco-Bercial
22786645,SAMN22786645,1035402007_18S_V4,2018-12-16,119.8,SRS10846855,Leocadio Blanco-Bercial
22786644,SAMN22786644,1035402023_18S_V4,2018-12-16,997.9,SRS10846852,Leocadio Blanco-Bercial
22786643,SAMN22786643,1035402001_18S_V4,2018-12-16,1.9,SRS10846851,Leocadio Blanco-Bercial
22786642,SAMN22786642,1035301722_18S_V4,2018-11-06,799.9,SRS10846850,Leocadio Blanco-Bercial
22786641,SAMN22786641,1035301721_18S_V4,2018-11-06,599.5,SRS10846849,Leocadio Blanco-Bercial
22786640,SAMN22786640,1035301717_18S_V4,2018-11-07,297.6,SRS10846847,Leocadio Blanco-Bercial
22786639,SAMN22786639,1035301713_18S_V4,2018-11-07,158.3,SRS10846848,Leocadio Blanco-Bercial
22786638,SAMN22786638,1035301709_18S_V4,2018-11-07,119.4,SRS10846845,Leocadio Blanco-Bercial
22786637,SAMN22786637,1035301723_18S_V4,2018-11-06,998.1,SRS10846846,Leocadio Blanco-Bercial
22786636,SAMN22786636,1035301701_18S_V4,2018-11-07,2.2,SRS10846843,Leocadio Blanco-Bercial
22786635,SAMN22786635,1035202121_18S_V4,2018-10-18,800.9,SRS10846842,Leocadio Blanco-Bercial
22786634,SAMN22786634,1035202106_18S_V4,2018-10-21,82.5,SRS10846841,Leocadio Blanco-Bercial
22786633,SAMN22786633,1035202119_18S_V4,2018-10-18,601.4,SRS10846840,Leocadio Blanco-Bercial
22786632,SAMN22786632,1035202117_18S_V4,2018-10-21,499.4,SRS10846839,Leocadio Blanco-Bercial
22786631,SAMN22786631,1035202104_18S_V4,2018-10-21,41.4,SRS10846838,Leocadio Blanco-Bercial
22786630,SAMN22786630,1035202115_18S_V4,2018-10-21,301.5,SRS10846837,Leocadio Blanco-Bercial
22786629,SAMN22786629,1035202113_18S_V4,2018-10-21,249.5,SRS10846836,Leocadio Blanco-Bercial
22786628,SAMN22786628,1035202111_18S_V4,2018-10-21,198.8,SRS10846835,Leocadio Blanco-Bercial
22786627,SAMN22786627,1035202110_18S_V4,2018-10-21,160.4,SRS10846833,Leocadio Blanco-Bercial
22786626,SAMN22786626,1035202108_18S_V4,2018-10-21,119.9,SRS10846831,Leocadio Blanco-Bercial
22786625,SAMN22786625,1035202123_18S_V4,2018-10-18,1000.3,SRS10846834,Leocadio Blanco-Bercial
22786624,SAMN22786624,1035202101_18S_V4,2018-10-21,4.6,SRS10846830,Leocadio Blanco-Bercial
22786623,SAMN22786623,1035101621_18S_V4,2018-09-11,801.5,SRS10846828,Leocadio Blanco-Bercial
22786622,SAMN22786622,1035101605_18S_V4,2018-09-12,80.2,SRS10846829,Leocadio Blanco-Bercial
22786621,SAMN22786621,1035101619_18S_V4,2018-09-11,600.8,SRS10846827,Leocadio Blanco-Bercial
22786620,SAMN22786620,1035101617_18S_V4,2018-09-12,499.1,SRS10846826,Leocadio Blanco-Bercial
22786619,SAMN22786619,1035101603_18S_V4,2018-09-12,40,SRS10846821,Leocadio Blanco-Bercial
